10,423
32,155
35,144
-29,072
-0,246
24432934,049
-6,355
-4,753
36,212
0,949
0,352
1,738
3,320
0,750
1,032
6,336
34,821
6,064
319,689
-152,451
20,420
34912567800491300000000,000
-2,817
-64,365
32,747
21273884132550300000000,000
-26,913
0,000
10,320
-1,902
14,501
-1,633
-19,312
-6,553
-200,594
25,017
-25,753
-2,634
-19,574
300787513121445,000
-17,703
-228,835
19,871
-8,885
0,711
0,000
8,816
35,257
2,812
-0,490
-0,098
-37,975
-9,433
-29,571
2,895
-30,986
0,563
28,581
0,022
-79,230
1,791
105305201945530000000,000
28,106
1,410
17,672
2,956
0,000
-154,329
-44,908
119,369
18,139
33,984
0,000
-19,586
-23,001
25,192
-30,281
83,984
1,572
23,605
-2,828
0,993
-11,705
7,102
35,548
133,288
241,855
278,761
-4,589
-0,682
95,170
9,641
-2,699
-3,658
1,154
0,260
-1,113
2,119
-0,586
1,527
126,885
-31,697
-32,964
-9,226
0,000
69,582
166987611,057
-183,928
1,797
-155,564
-13,829
18,403
0,319
0,164
4,795
-14,089
-2,974
18,551
9,445
22,812
128981755707312000,000
-119,592
-137,113
-299,188
0,000
-0,029
-0,768
1,415
18,691
270659643,923
-253,962
106854005612035000,000
-6,474
-211,010
-12,815
-3,981
35,918
2,973
-20,202
-0,076
-1,644
-272,988
-85,295
859596331445,660
15,727
-7,768
-1,087
18,585
-1,398
0,492
-64,366
-4,421
0,151
0,000
3,952
-4,577
6,838
0,316
-0,161
-3,662
64,606
0,000
23,198
-0,653
46,043
13009945,160
27,484
-19,075
-7,147
0,551
44349168252994400,000
-7,671
63,442
-148,508
25,034
1,143
-0,980
-11,233
-2,067
-0,621
-0,141
-13,218
-1,710
-14,021
-19,208
-9,980
-17,795
48,657
-2,040
357,432
-0,091
0,149
-11,804
0,000
100,849
9,618
-10,314
-4,972
11937671914,666
-1,309
4106635930824390000,000
27,451
15,748
16,961
2,430
-0,925
3,785
10,148
18,864
18,131
0,325
5,693
-0,512
3,212
-6,770
-132,750
623810020,063
-21,690
100,561
-43,770
-3,345
76,112
-1,444
-1,211
-15,181
4,966
803629723324822000000000,000
2,754
0,050
-18,208
30,106
-134,691
0,129
10,845
22,243
0,000
-17,465
0,000
23,518
38,859
1601529,875
-0,401
-21,219
-19,214
11,250
-1,857
-8,638
-3,302
0,005
0,522
8,074
32,817
-9,824
4806,582
-6,729
38,906
2,954
1,196
-237,503
32,406
0,766
-5,209
-1,662
-32,678
-47,517
-0,679
-2,014
-19,491
24,120
-1,441
3,866
12,274
304176312629457000,000
-2,158
-20,678
103378893525459000000,000
20,834
70567103,643
14,782
10,948
17,482
-140,224
-281,067
96,423
